;GND-ID;Name_identifiziert;occupation_GND;birth_GND;gender;death_GND;country_GND;country_norm
957;118840991;Hein, Christoph;"Librettist; Dramatiker; Schriftsteller; Romancier; Erzähler; Essayist";1944-04-08;Männlich;;Deutschland;D
958;118511270;Birken, Sigmund von;"Hofmeister; Erzieher; Schriftsteller";1626-04-25;Männlich;1681-06-12;Deutschland;D
959;118630563;Weiße, Christian Felix;"Steuereinnehmer; Übersetzer; Jugendbuchautor; Redakteur; Schriftsteller";1726-01-28;Männlich;1804-12-16;Deutschland;D
960;118620193;Swift, Jonathan;Schriftsteller;1667-11-30;Männlich;1745-10-19;"Großbritannien; Irland";
961;124064302;Ḳashuʿa, Sayed;"Dozent; Schriftsteller; Journalist";1975;Männlich;;Israel;
962;115714987;Lewinsky, Charles;"Regisseur; Dramaturg; Drehbuchautor; Schriftsteller; Fernsehredakteur";1946-04-14;Männlich;;Europa;S
963;118514474;Brant, Sebastian;"Jurist; Humanist; Schriftsteller; Publizist; Historiker";1457;Männlich;1521-05-10;Deutschland;D
964;1043193871;Lappert, Simone;"Schriftsteller; Lyriker";1985;Weiblich;;Europa;S
965;115609342;Schönauer, Helmuth;"Schriftsteller; Bibliothekar; Literaturkritiker";1953;Männlich;;Österreich;Ö
966;1286857236;Warren, Austin;Schriftsteller;1880;Männlich;1951;Spanien;
967;118603426;Rousseau, Jean-Jacques;"Botaniker; Schriftsteller; Dramatiker; Pädagoge; Philosoph; Komponist; Musikwissenschaftler";1712-06-28;Männlich;1778-07-02;"Europa; Großbritannien; Frankreich";S
968;122340604;Sommer, Andreas Urs;"Schriftsteller; Philosoph";1972;Männlich;;Deutschland;D
969;1164261304;Keßler, Verena;"Schriftsteller; Jugendbuchautor";1988;Weiblich;;Deutschland;D
970;1025857704;Kaiser, Vea;"Fotomodell; Schriftsteller";1988;Weiblich;;Österreich;Ö
971;123707021;Poschmann, Marion;Schriftsteller;1969;Weiblich;;Deutschland;D
972;118673696;Brehm, Bruno;"Kunsthistoriker; Kommunalpolitiker; Schriftsteller";1892-07-23;Männlich;1974-06-05;Österreich;Ö
973;11881169X;Morgenstern, Christian;"Schriftsteller; Lyriker; Übersetzer; Dramaturg; Redakteur; Librettist";1871-05-06;Männlich;1914-03-31;"Italien; Deutschland";D
974;118522914;Csokor, Franz Theodor;"Regisseur; Theaterregisseur; Schriftsteller; Dramatiker";1885-09-06;Männlich;1969-01-09;"Rumänien; Österreich; Föderative Republik Jugoslawien; Jugoslawien";Ö
975;1033311812;Tieck, Polly;"Journalist; Schriftsteller";1893;Weiblich;1975;"Chile; Deutschland";D
976;119349353;Calasso, Roberto;"Verleger; Schriftsteller";1941-05-30;Männlich;2021-07-28;Italien;
977;11851993X;Cervantes Saavedra, Miguel de;"Kammerdiener; Matrose; Schriftsteller";1547-09-29;Männlich;1616-04-23;Spanien;
978;119130513;Magris, Claudio;"Schriftsteller; Germanist; Philologe; Übersetzer; Literaturwissenschaftler";1939-04-10;Männlich;;Italien;
979;107141019;Rohan, Karl Anton;"Publizist; Schriftsteller";1898-01-09;Männlich;1974-03-21;Österreich;Ö
980;136500757;Rabinowich, Julya;"Schriftsteller; Dramatiker; Maler";1970;Weiblich;;"Russland; Österreich";Ö
981;119101211;Fauser, Jörg;"Journalist; Schriftsteller";1944-07-16;Männlich;1987-07-17;Deutschland;D
