;Bevorzugter Name;Ländercode;Beruf oder Beschäftigung;GND-Nummer;Geburtsdatum;Geschlecht;Austrian;German;Swiss;Land
3584;Tetzner, Lisa;"Deutschland;Europa";"Schriftsteller; Kinderbuchautor; Jugendbuchautor";118756540;1894-11-10;Weiblich;0.0;1.0;1.0;D,S
3585;Müller-Kampel, Beatrix;Österreich;"Germanist; Wissenschaftshistoriker; Hochschullehrer";12341377X;1958;Weiblich;1.0;0.0;0.0;Ö
3586;Keidel, Matthias;Deutschland;Kulturwissenschaftler;1304026655;1971;Männlich;0.0;1.0;0.0;D
3587;Motte, Jan;Deutschland;Historiker;1230330836;;Männlich;0.0;1.0;0.0;D
3588;Danneberg, Lutz;Deutschland;"Literaturwissenschaftler; Philosoph";111534011;1951;Männlich;0.0;1.0;0.0;D
3589;Bauer, Manuel;Deutschland;"Germanist; Privatdozent";1076300146;1979;Männlich;0.0;1.0;0.0;D
3590;Mann-Borgese, Elisabeth;"Kanada;Deutschland;USA";"Politolog; Meereskundler";119141612;1918-04-24;Weiblich;0.0;1.0;0.0;D
3591;Broch, Hermann;"Österreich;USA;Deutschland";"Philosoph; Journalist; Schriftsteller; Textilingenieur; Kulturphilosoph; Schriftsteller";118515551;1886-11-01;Männlich;1.0;1.0;0.0;D,Ö
3592;Yurdakul, Gökçe;"Deutschland;Türkei";"Soziolog; Hochschullehrer";138193436;;Weiblich;0.0;1.0;0.0;D
3593;Rohner, Ludwig;"Deutschland;Schweiz";"Literaturwissenschaftler; Germanist; Gymnasiallehrer; Deutschlehrer; Herausgeber";116598352;1927;Männlich;0.0;1.0;0.0;D
3594;Kessler, Michael;Deutschland;"Theologe; Germanist; Publizist";1053955014;1944;Männlich;0.0;1.0;0.0;D
3595;Papilloud, Christian;Frankreich;Soziologe;1072377764;[19XX];Männlich;0.0;0.0;0.0;
3597;Lethen, Helmut;Deutschland;"Germanist; Kulturwissenschaftler; Hochschullehrer";122795199;1939;Männlich;0.0;1.0;0.0;D
3598;Chatman, Seymour Benjamin;USA;"Philologe; Literaturkritiker; Filmkritiker";137944985;1928;Männlich;0.0;0.0;0.0;
3599;Schnitzer, Arthur;Österreich;Landwirt;1032812141;;Männlich;1.0;0.0;0.0;Ö
3600;Edelbauer, Raphaela;Österreich;Schriftsteller;1136992030;1990;Weiblich;1.0;0.0;0.0;Ö
3601;Menzel, Adolph von;"Deutschland;Polen";"Maler; Zeichner; Grafiker; Illustrator; Maler";118580914;1815-12-08;Männlich;0.0;1.0;0.0;D
3602;Lämmert, Eberhard;Deutschland;"Germanist; Hochschullehrer";120967634;1924-09-20;Männlich;0.0;1.0;0.0;D
3604;Pudor, Heinrich;Deutschland;"Schriftsteller; Musiker; Maler";11630734X;1865-08-29;Männlich;0.0;1.0;0.0;D
3605;Tenorth, Heinz-Elmar;Deutschland;Pädagoge;121683591;1944;Männlich;0.0;1.0;0.0;D
3606;Fiala-Fürst, Ingeborg;"Deutschland;Tschechische Republik;Österreich";Germanist;106569072X;1961;Weiblich;1.0;1.0;0.0;D,Ö
3607;Eisenbeiß, Gregor;Deutschland;Drehbuchautor;1062173465;;Männlich;0.0;1.0;0.0;D
