;wien_total;wien_rel;wien_total_M;wien_total_F;wien_rel_F;wien_rel_M;wien_relrel_F;wien_relrel_M;graz_total;graz_rel;graz_total_M;graz_total_F;graz_rel_F;graz_rel_M;graz_relrel_F;graz_relrel_M;basel_total;basel_rel;basel_total_M;basel_total_F;basel_rel_F;basel_rel_M;basel_relrel_F;basel_relrel_M;chemnitz_total;chemnitz_rel;chemnitz_total_M;chemnitz_total_F;chemnitz_rel_F;chemnitz_rel_M;chemnitz_relrel_F;chemnitz_relrel_M;erfurt_total;erfurt_rel;erfurt_total_M;erfurt_total_F;erfurt_rel_F;erfurt_rel_M;erfurt_relrel_F;erfurt_relrel_M;halle_total;halle_rel;halle_total_M;halle_total_F;halle_rel_F;halle_rel_M;halle_relrel_F;halle_relrel_M;marburg_total;marburg_rel;marburg_total_M;marburg_total_F;marburg_rel_F;marburg_rel_M;marburg_relrel_F;marburg_relrel_M;mainz_total;mainz_rel;mainz_total_M;mainz_total_F;mainz_rel_F;mainz_rel_M;mainz_relrel_F;mainz_relrel_M;stuttgart_total;stuttgart_rel;stuttgart_total_M;stuttgart_total_F;stuttgart_rel_F;stuttgart_rel_M;stuttgart_relrel_F;stuttgart_relrel_M;semester_start
10;4;0.005681818181818182;4.0;0.0;0.0;1.0;0.0;0.0014204545454545455;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2005-09-01
11;12;0.017045454545454544;10.0;2.0;0.16666666666666666;0.8333333333333334;0.00023674242424242422;0.0011837121212121212;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2006-04-01
12;6;0.008522727272727272;2.0;4.0;0.6666666666666666;0.3333333333333333;0.0009469696969696969;0.00047348484848484844;20;0.014285714285714285;18.0;2.0;0.1;0.9;7.142857142857143e-05;0.0006428571428571428;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2006-09-01
13;2;0.002840909090909091;2.0;0.0;0.0;1.0;0.0;0.0014204545454545455;10;0.007142857142857143;6.0;4.0;0.4;0.6;0.00028571428571428574;0.00042857142857142855;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2007-04-01
14;89;0.12642045454545456;59.0;29.0;0.3258426966292135;0.6629213483146067;0.00046284473953013284;0.0009416496424923391;21;0.015;19.0;2.0;0.09523809523809523;0.9047619047619048;6.802721088435374e-05;0.0006462585034013606;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;69;0.053446940356312936;54.0;13.0;0.18840579710144928;0.782608695652174;0.00014593787536905443;0.0006062034823022262;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2007-09-01
15;61;0.08664772727272728;43.0;18.0;0.29508196721311475;0.7049180327868853;0.000419150521609538;0.0010013040238450075;12;0.008571428571428572;9.0;3.0;0.25;0.75;0.00017857142857142857;0.0005357142857142857;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;67;0.051897753679318356;54.0;13.0;0.19402985074626866;0.8059701492537313;0.00015029422985768292;0.000624299108639606;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2008-04-01
16;49;0.06960227272727272;35.0;14.0;0.2857142857142857;0.7142857142857143;0.0004058441558441558;0.0010146103896103897;21;0.015;15.0;6.0;0.2857142857142857;0.7142857142857143;0.0002040816326530612;0.0005102040816326531;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;44;0.03408210689388071;38.0;6.0;0.13636363636363635;0.8636363636363636;0.0001056263643405394;0.0006689669741567495;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2008-09-01
17;18;0.02556818181818182;18.0;0.0;0.0;1.0;0.0;0.0014204545454545455;17;0.012142857142857143;15.0;2.0;0.11764705882352941;0.8823529411764706;8.403361344537815e-05;0.0006302521008403361;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;101;0.07823392718822618;92.0;9.0;0.0891089108910891;0.9108910891089109;6.902316877698614e-05;0.0007055701697203028;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;2009-04-01
18;87;0.12357954545454546;81.0;6.0;0.06896551724137931;0.9310344827586207;9.796238244514106e-05;0.0013224921630094044;62;0.04428571428571428;44.0;18.0;0.2903225806451613;0.7096774193548387;0.00020737327188940095;0.0005069124423963134;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;81;0.0627420604182804;66.0;15.0;0.18518518518518517;0.8148148148148148;0.00014344321083283127;0.0006311501276644576;0;0.0;;;;;;;10;0.018518518518518517;10.0;0.0;0.0;1.0;0.0;0.001851851851851852;0;0.0;;;;;;;2009-09-01
19;47;0.06676136363636363;40.0;7.0;0.14893617021276595;0.851063829787234;0.00021155705996131526;0.0012088974854932303;4;0.002857142857142857;4.0;0.0;0.0;1.0;0.0;0.0007142857142857143;0;0.0;;;;;;;0;0.0;;;;;;;0;0.0;;;;;;;95;0.07358636715724244;84.0;11.0;0.11578947368421053;0.8842105263157894;8.968975498389661e-05;0.0006849035835133923;0;0.0;;;;;;;31;0.05740740740740741;31.0;0.0;0.0;1.0;0.0;0.001851851851851852;0;0.0;;;;;;;2010-04-01
