;GND-ID;occupation_GND;birth_GND;gender_GND;death_GND;country_GND
95;12024361X;"Comiczeichner; Illustrator; Kinderbuchautor; Bilderbuchautor; Comicautor; Jugendbuchautor";1946-09-13;Männlich;;Frankreich
96;1197732829;Philosoph;1984;Weiblich;;Italien
97;120021153;"Schriftsteller; Tänzer; Choreograf; Theaterregisseur";1959;Weiblich;;Deutschland
98;119392909;"Herausgeber; Literaturwissenschaftler; Ethnologe";1934;Männlich;;"Österreich; Deutschland"
99;11850374X;"Schriftsteller; Philosoph; Rechtsanwalt";123;Männlich;170;"Römisches Reich; Griechenland (Altertum)"
100;1077889135;"Französischlehrer; Schriftsteller";1967-11-07;Männlich;;Frankreich
101;123809185;"Literaturwissenschaftler; Germanist; Hochschullehrer; Kulturwissenschaftler";1939-05-13;Männlich;;Deutschland
102;14080014X;Historiker;1972;Unbekannt;;USA
103;141387521;"Philologe; Philosoph; Literaturwissenschaftler";1961;Weiblich;;Deutschland
104;141540990;"Soziologe; Pädagoge";1980;Weiblich;;
105;128533587;"Journalist; Umweltschützer";1960;Männlich;;USA
106;1046923536;Historiker;1973;Weiblich;;Deutschland
107;118625152;"Journalist; Drehbuchautor; Politischer Flüchtling; Schriftsteller";1904-03-12;Männlich;1963-07-02;"Deutschland; USA; Mexiko; Frankreich"
108;118540963;"Schulinspektor; Schriftsteller; Pfarrer";1797-10-04;Männlich;1854-10-22;Europa
109;1053542844;"Medienwissenschaftler; Hochschullehrer";1968;Weiblich;;Deutschland
110;118597442;"Maler; Erzähler; Schriftsteller";1831-10-08;Männlich;1910-11-15;Deutschland
111;118535269;"Schriftsteller; Pfarrer; Evangelischer Theologe";1863-10-19;Männlich;1945-04-11;Deutschland
112;1146809727;Philologe;1940;Weiblich;;Norwegen
113;124816886;"Cartoonist; Comiczeichner; Comicautor";1946-08-30;Männlich;;Frankreich
114;116469285;"Evangelischer Theologe; Statistiker; Superintendent";1772;Männlich;1812;Deutschland
115;138967210;Historiker;1967;Männlich;;Europa
116;118620444;"Regisseur; Schriftsteller; Dramatiker; Theaterregisseur; Autor; Schauspieler; Drehbuchautor";1914-05-24;Männlich;2007-07-23;"Großbritannien; USA; Ungarn; Deutschland"
117;118729977;"Literaturwissenschaftler; Literaturkritiker; Publizist; Philosoph; Medienwissenschaftler";1911-07-21;Männlich;1980-12-31;Kanada
118;118512676;"Übersetzer; Schriftsteller; Drehbuchautor; Nobelpreisträger";1917-12-21;Männlich;1985-07-16;Deutschland
119;121902811;"Hochschullehrer; Literaturkritiker; Essayist; Literaturwissenschaftler";1964;Weiblich;;Österreich
120;119241781;"Hochschullehrer; Philosoph";1954-09-20;Männlich;;Deutschland
121;134191897;"Soziologe; Hochschullehrer";1938;Männlich;;"USA; Großbritannien"
122;118828983;"Schriftsteller; Musiker; Drehbuchautor; Schauspieler; Kabarettist";1928-10-08;Männlich;1986-09-29;Österreich
123;131369180;"Drehbuchautor; Übersetzer; Schriftsteller; Schauspieler";1977;Männlich;;Deutschland
124;119198037;"Literaturkritiker; Schriftsteller; Wissenschaftler";1950;Männlich;;USA
125;118599631;"Pazifist; Redakteur; Schriftsteller; Lehrer";1898-06-22;Männlich;1970-09-25;"Europa; USA; Deutschland"
126;1224839048;Heimatschriftsteller;1907-09-20;Männlich;;Deutschland
127;118602713;"Germanist; Literarhistoriker; Bibliothekar; Hochschullehrer; Volkskundler";1907-08-24;Männlich;1993-11-02;Deutschland
128;124309976;"Kunsthistoriker; Hochschullehrer";1961;Männlich;;Deutschland
129;11874738X;"Soziologe; Hochschullehrer";1927-10-14;Männlich;2016-05-10;"USA; Deutschland"
130;1191424081;Slawist;1940;Männlich;;"Deutschland; Polen"
131;124477445;Literaturwissenschaftler;1972;Männlich;;Deutschland
132;138999392;"Autor; Journalist";1969;Männlich;;Italien
133;122383141;"Germanist; Kulturwissenschaftler";1941;Männlich;;Deutschland
134;118702599;"Journalist; Zeitungsverleger; Schriftsteller; Redakteur";1848-10-25;Männlich;1904-01-28;"Deutschland; Österreich; Polen"
135;120453479;"Schriftsteller; Anglist; Übersetzer; Lyriker";1964;Männlich;;Deutschland
136;138927316;"Politologe; Historiker";1915;Männlich;2001;Großbritannien
137;118626167;"Publizist; Diplomat; Privatlehrer; Schriftsteller; Literaturkritiker; Biograf";1785-02-21;Männlich;1858-10-10;"Österreich; Russland; Deutschland"
138;128622180;"Theaterwissenschaftler; Hochschullehrer";1944;Männlich;2022;Deutschland
139;122905334;"Philologe; Literaturwissenschaftler";1936;Männlich;;"USA; Deutschland"
140;1025555295;"Sozialarbeiter; Schriftsteller; Krankenschwester";1972;Weiblich;;Dänemark
141;122677153;"Philologe; Germanist; Literaturwissenschaftler; Hochschullehrer";1943-03-02;Unbekannt;;Deutschland
142;120120917;Historiker;1943-10-04;Männlich;;Deutschland
143;121750531;"Hochschullehrer; Sachbuchautor; Philologe; Anglist";1958;Männlich;;Deutschland
144;118765191;"Literaturkritiker; Schriftsteller; Journalist";1893-05-18;Männlich;1964-07-19;Deutschland
145;119170671;"Reporter; Schauspieler; Schriftsteller; Drehbuchautor";1927-03-08;Männlich;2005-11-24;"Polen; Deutschland"
146;129509671;"Literaturwissenschaftler; Lehrer; Lektor <Verlag>; Krankenpfleger; Journalist; Lyriker";1929-03-05;Männlich;2010;"Polen; Deutschland"
147;1072377764;Soziologe;[19XX];Männlich;;Frankreich
148;122493796;Übersetzer;1954;Weiblich;;Deutschland
149;120023083;Schriftsteller;1963;Weiblich;;Österreich
150;119216361;"Schriftsteller; Gymnasiallehrer; Übersetzer";1928-05-02;Männlich;;"Deutschland; Frankreich"
151;119535467;"Journalist; Schriftsteller; Kinderbuchautor; Dramaturg";1960;Weiblich;;Deutschland
152;118634666;"Schriftsteller; Librettist; Drehbuchautor; Redakteur";1929-03-18;Weiblich;2011-12-01;"Deutschland; Deutschland (DDR); Polen"
153;118605054;Schriftsteller;1919-01-01;Männlich;2010-01-27;USA
154;120819201;"Übersetzer; Literaturkritiker; Schriftsteller";1947;Männlich;;"Deutschland; Österreich"
155;115514724;Literaturwissenschaftler;1965;Weiblich;;Europa
156;132536811;"Literarhistoriker; Historiker; Bibliothekar";1915;Männlich;1985;Österreich
157;118887203;"Literaturwissenschaftler; Journalist; Schriftsteller";1919;Männlich;1983;Belgien
158;129709867;"Wissenschaftshistoriker; Kulturwissenschaftler";1972;Männlich;;Deutschland
159;119074087;"Übersetzer; Schriftsteller";1897;Weiblich;1963;"Großbritannien; Europa; Österreich"
160;116491000;Theaterwissenschaftler;1934;Männlich;2023;Deutschland
161;136315623;"Soziologe; Kulturwissenschaftler";1956;Männlich;;Großbritannien
162;118527533;"Schriftsteller; Komponist; Zeichner; Librettist";1797-01-10;Weiblich;1848-05-24;Deutschland
163;118551655;"Politiker; Maler; Autor";1889-04-20;Männlich;1945-04-30;"Österreich; Deutschland"
164;118520393;"Lyriker; Schriftsteller; Karikaturist; Journalist; Essayist";1874-05-29;Männlich;1936-06-14;Großbritannien
165;118818651;"Schriftsteller; Komponist";1842-02-25;Männlich;1912-03-30;Deutschland
166;1032812141;Landwirt;;Männlich;;Österreich
167;118585886;"Schriftsteller; Übersetzer; Katholischer Theologe; Satiriker; Humanist; Mönch; Drucker; Jurist";1475-12-24;Männlich;1537-08-23;"Deutschland; Europa; Frankreich"
168;11904191X;Kulturwissenschaftler;1912;Männlich;2003;USA
169;140372318;"Drehbuchautor; Regisseur; Schriftsteller; Schauspieler";1992-02-19;Weiblich;;Deutschland
170;136479901;"Geograf; Kupferstecher; Kartograf";1565;Männlich;1656;Niederlande
171;1062425871;Drehbuchautor;;Männlich;;
172;1016709846;"Germanist; Philologe";1953;Männlich;;Deutschland
173;118505696;"Philosoph; Schriftsteller; Jurist; Politiker";1561-01-22;Männlich;1626-04-09;Großbritannien
174;118525212;"Redakteur; Journalist; Schriftsteller";1942-12-01;Männlich;;Deutschland
175;118535560;"Schauspieler; Historiker; Kritiker; Philosoph; Schriftsteller";1878-01-21;Männlich;1938-03-16;"Deutschland; Österreich"
176;118584596;"Pianist; Komponist";1756-01-27;Männlich;1791-12-05;Österreich
177;142552925;Philosoph;1952;Männlich;;Italien
178;1053200218;Philologe;;Weiblich;;Deutschland
179;118744895;Schriftsteller;1929-05-16;Weiblich;2012-03-27;USA
180;120261197;"Schriftsteller; Journalist";1972;Weiblich;;Israel
181;134278283;"Theaterwissenschaftler; Dramaturg";1962;Männlich;;Deutschland
182;118789651;Schriftsteller;1893-08-22;Weiblich;1967-06-07;USA
183;1028515286;;1960;Weiblich;;"Deutschland; Europa"
184;124021913;"Übersetzer; Autor; Librettist";1964-11-13;Weiblich;;"Frankreich; Deutschland"
185;1285193873;Romanist;1991;Männlich;;Deutschland
186;118510649;"Lehrer; Schriftsteller; Librettist";1935-03-24;Männlich;;Europa
187;13335301X;Anglist;1948;Weiblich;;
188;118548360;Schriftsteller;1278;Männlich;1329;Deutschland
189;123025257;Philologe;1967;Weiblich;;Deutschland
190;118618121;"Gelehrter; Lexikograf; Schriftsteller; Linguist; Lehrer; Lyriker; Sekretär; Dramatiker";1632-08-02;Männlich;1707-06-24;Deutschland
191;105821098;Schriftsteller;1907;Weiblich;1952;"Frankreich; Deutschland"
192;118559737;"Künstler; Schriftsteller; Maler; Grafiker";1866-12-04;Männlich;1944-12-13;"Frankreich; Deutschland; Russland"
193;1148595902;Germanist;;Weiblich;;Deutschland
194;122769899;"Journalist; Aktivist; Schriftsteller";1970;Weiblich;;Kanada
195;120381397;"Regisseur; Autor";1965;Männlich;;Deutschland
196;1075939410;"Historiker; Schriftsteller; Journalist";1988;Männlich;;Deutschland
197;124596741X;"Verleger; Germanist";;Männlich;;Deutschland
198;123263034;"Übersetzer; Schriftsteller; Romanist";1974-05-17;Weiblich;;Deutschland
199;117477206;Diplomat;1940-06-26;Männlich;2011-09-28;Deutschland
200;108932877X;Soziolog;1961;Weiblich;;Land unbekannt
201;118024833;"Schriftsteller; Übersetzer";1951;Männlich;;"Deutschland; Türkei"
202;1013903897;Schriftsteller;1963;Weiblich;;"Moçambique; Portugal"
203;118527657;"Journalist; Bürgerrechtler; Schriftsteller; Soziologe; Historiker; Politiker; Pazifist; Philosoph";1868-02-23;Männlich;1963-08-27;"USA; Ghana"
204;121642372;Soziologe;1955;Männlich;;
205;118653830;"Redakteur; Schriftsteller; Musiker; Librettist; Harfenist; Dramatiker; Drehbuchautor";1888-01-24;Weiblich;1960-08-29;"Deutschland; Österreich; Juden; USA"
206;115836837;"Germanist; Literaturwissenschaftler";1956-08-28;Männlich;;Deutschland
